frame,time_sec,L_x,L_y,L_w,L_h,R_x,R_y,R_w,R_h
0,0.0,-1,-1,-1,-1,-1,-1,-1,-1
1,0.031389289974260784,-1,-1,-1,-1,320,308,307,575
2,0.06277857994852157,-1,-1,-1,-1,306,307,310,575
3,0.09416786992278235,-1,-1,-1,-1,248,262,359,631
4,0.12555715989704314,-1,-1,-1,-1,192,262,279,512
5,0.1569464498713039,-1,-1,-1,-1,192,262,279,512
6,0.1883357398455647,161,269,285,492,1206,200,349,535
7,0.21972502981982547,161,269,285,492,1206,200,349,535
8,0.25111431979408627,0,263,408,671,1206,200,349,535
9,0.28250360976834704,0,263,408,671,1206,200,349,535
10,0.3138928997426078,0,262,317,493,1206,200,349,535
11,0.3452821897168686,0,263,294,688,1150,197,408,217
12,0.3766714796911294,0,263,294,688,1150,197,408,217
13,0.4080607696653902,0,263,229,510,1176,197,414,536
14,0.43945005963965095,0,263,229,510,1176,197,414,536
15,0.4708393496139117,0,284,220,642,1176,197,414,536
16,0.5022286395881725,0,292,206,635,1176,197,414,536
17,0.5336179295624333,0,353,192,577,1176,197,414,536
18,0.5650072195366941,0,384,166,547,1163,199,279,533
19,0.5963965095109548,0,384,166,547,1163,199,279,533
20,0.6277857994852156,0,384,166,547,1102,198,405,533
21,0.6591750894594764,0,384,166,547,1102,198,405,533
22,0.6905643794337372,0,384,166,547,1102,198,405,533
23,0.721953669407998,0,384,166,547,1102,198,405,533
24,0.7533429593822588,0,384,166,547,1136,201,308,531
25,0.7847322493565195,0,384,166,547,1136,201,308,531
26,0.8161215393307804,0,384,166,547,1136,201,308,531
27,0.8475108293050411,0,384,166,547,1136,201,308,531
28,0.8789001192793019,0,384,166,547,1136,201,308,531
29,0.9102894092535627,0,384,166,547,1253,303,145,437
30,0.9416786992278234,0,384,166,547,1253,303,145,437
31,0.9730679892020843,0,384,166,547,1253,303,145,437
32,1.004457279176345,0,384,166,547,1253,303,145,437
33,1.0358465691506058,0,384,166,547,1253,303,145,437
34,1.0672358591248665,0,384,166,547,1253,303,145,437
35,1.0986251490991275,0,384,166,547,1253,303,145,437
36,1.1300144390733882,0,384,166,547,1253,303,145,437
37,1.1614037290476489,0,384,166,547,1253,303,145,437
38,1.1927930190219096,0,384,166,547,1253,303,145,437
39,1.2241823089961705,0,384,166,547,1253,303,145,437
40,1.2555715989704312,0,384,166,547,1253,303,145,437
41,1.286960888944692,0,384,166,547,1033,432,311,421
42,1.318350178918953,0,384,166,547,1033,432,311,421
43,1.3497394688932136,1210,192,436,193,1054,431,290,409
44,1.3811287588674743,1210,192,436,193,1054,431,290,409
45,1.4125180488417353,1215,190,456,221,1020,430,347,392
46,1.443907338815996,1215,190,456,221,1020,430,347,392
47,1.4752966287902567,1215,190,456,221,1020,430,347,392
48,1.5066859187645176,1215,190,456,221,1020,430,347,392
49,1.5380752087387783,1215,190,456,221,1020,430,347,392
50,1.569464498713039,1215,190,456,221,1020,430,347,392
51,1.6008537886872998,1215,190,456,221,1020,430,347,392
52,1.6322430786615607,1296,190,450,118,1070,200,284,366
53,1.6636323686358214,1322,190,449,118,1070,200,284,366
54,1.6950216586100821,1322,190,449,118,1070,200,284,366
55,1.726410948584343,1322,190,449,118,1070,200,284,366
56,1.7578002385586038,1322,190,449,118,1070,200,284,366
57,1.7891895285328645,1358,191,449,117,1089,200,371,558
58,1.8205788185071254,1358,191,449,117,1089,200,371,558
59,1.8519681084813862,1358,191,449,117,1089,200,371,558
60,1.8833573984556469,915,947,464,133,0,542,306,538
61,1.9147466884299076,1342,292,578,788,0,533,430,547
62,1.9461359784041685,1389,295,531,785,0,533,386,547
63,1.9775252683784292,1452,300,468,780,0,535,406,545
64,2.00891455835269,1452,300,468,780,0,535,406,545
65,2.0403038483269507,1528,307,392,773,118,542,298,538
66,2.0716931383012116,1578,319,342,761,224,545,264,535
67,2.1030824282754725,1658,327,262,753,308,528,292,368
68,2.134471718249733,1717,325,203,645,376,513,258,383
69,2.165861008223994,1750,309,170,651,376,513,258,383
70,2.197250298198255,1750,309,170,651,376,513,258,383
71,2.2286395881725154,1750,309,170,651,376,513,258,383
72,2.2600288781467763,1750,309,170,651,376,513,258,383
73,2.2914181681210373,1750,309,170,651,376,513,258,383
74,2.3228074580952978,1750,309,170,651,376,513,258,383
75,2.3541967480695587,1750,309,170,651,376,513,258,383
76,2.385586038043819,1750,309,170,651,376,513,258,383
77,2.41697532801808,1750,309,170,651,376,513,258,383
78,2.448364617992341,1799,323,121,506,498,485,345,411
79,2.4797539079666016,1799,323,121,506,498,485,345,411
80,2.5111431979408625,1799,323,121,506,535,488,359,408
81,2.5425324879151234,1799,323,121,506,535,488,359,408
82,2.573921777889384,1799,323,121,506,552,496,290,400
83,2.605311067863645,1799,323,121,506,571,432,371,464
84,2.636700357837906,1799,323,121,506,571,432,371,464
85,2.6680896478121663,1799,323,121,506,610,432,155,462
86,2.6994789377864272,1799,323,121,506,624,461,164,434
87,2.730868227760688,1799,323,121,506,620,480,316,600
88,2.7622575177349487,1799,323,121,506,620,480,316,600
89,2.7936468077092096,1799,323,121,506,620,480,316,600
90,2.8250360976834705,1799,323,121,506,682,477,291,432
91,2.856425387657731,1799,323,121,506,682,477,291,432
92,2.887814677631992,1799,323,121,506,685,466,302,413
93,2.919203967606253,1799,323,121,506,685,466,302,413
94,2.9505932575805134,1799,323,121,506,685,466,302,413
95,2.9819825475547743,1799,323,121,506,685,466,302,413
96,3.0133718375290353,1799,323,121,506,685,466,302,413
97,3.0447611275032958,1799,323,121,506,685,466,302,413
98,3.0761504174775567,1799,323,121,506,685,466,302,413
99,3.107539707451817,1799,323,121,506,685,466,302,413
100,3.138928997426078,1799,323,121,506,685,466,302,413
101,3.170318287400339,1799,323,121,506,685,466,302,413
102,3.2017075773745995,1799,323,121,506,685,466,302,413
103,3.2330968673488605,1799,323,121,506,685,466,302,413
104,3.2644861573231214,1799,323,121,506,685,466,302,413
105,3.295875447297382,1799,323,121,506,685,466,302,413
106,3.327264737271643,1799,323,121,506,685,466,302,413
107,3.358654027245904,1799,323,121,506,685,466,302,413
108,3.3900433172201643,1799,323,121,506,685,466,302,413
109,3.421432607194425,1799,323,121,506,664,434,331,461
110,3.452821897168686,1799,323,121,506,672,448,179,447
111,3.4842111871429466,1799,323,121,506,672,448,179,447
112,3.5156004771172076,1799,323,121,506,677,458,403,438
113,3.5469897670914685,1799,323,121,506,683,387,240,508
114,3.578379057065729,803,388,321,692,689,625,217,271
115,3.60976834703999,713,402,424,506,689,625,217,271
116,3.641157637014251,713,402,424,506,689,625,217,271
117,3.6725469269885114,713,402,424,506,689,625,217,271
118,3.7039362169627723,713,402,424,506,689,625,217,271
119,3.735325506937033,713,402,424,506,689,625,217,271
120,3.7667147969112937,713,402,424,506,689,625,217,271
121,3.7981040868855547,713,402,424,506,689,625,217,271
